To: ondra.losi2@gmail.com | Status: OK | send In: 0.63 s | 2023-11-04 12:50:51
To: ondra.losi2@gmail.com | Status: OK | send In: 0.73 s | 2023-11-04 12:50:52
To: ondra.losi2@gmail.com | Status: OK | send In: 1.15 s | 2023-11-04 12:50:53
To: ondra.losi2@gmail.com | Status: OK | send In: 0.75 s | 2023-11-04 12:50:54
To: ondra.losi2@gmail.com | Status: OK | send In: 0.53 s | 2023-11-04 12:50:54
To: ondra.losi2@gmail.com | Status: OK | send In: 0.43 s | 2023-11-04 12:50:54
To: ondra.losi2@gmail.com | Status: OK | send In: 1.45 s | 2023-11-04 12:50:56
To: ondra.losi2@gmail.com | Status: OK | send In: 0.88 s | 2023-11-04 12:50:57
To: ondra.losi2@gmail.com | Status: OK | send In: 1.06 s | 2023-11-04 12:50:58
To: ondra.losi2@gmail.com | Status: OK | send In: 0.44 s | 2023-11-04 12:50:58
To: ondra.losi2@gmail.com | Status: OK | send In: 0.57 s | 2023-11-04 12:50:59
To: ondra.losi2@gmail.com | Status: OK | send In: 0.83 s | 2023-11-04 12:51:00
To: ondra.losi2@gmail.com | Status: OK | send In: 0.69 s | 2023-11-04 12:51:00
To: ondra.losi2@gmail.com | Status: OK | send In: 1.26 s | 2023-11-04 12:51:02
To: ondra.losi2@gmail.com | Status: OK | send In: 0.56 s | 2023-11-04 12:51:02
To: ondra.losi2@gmail.com | Status: OK | send In: 0.42 s | 2023-11-04 12:51:03
To: ondra.losi2@gmail.com | Status: OK | send In: 1.53 s | 2023-11-04 12:51:04
To: ondra.losi2@gmail.com | Status: OK | send In: 1.03 s | 2023-11-04 12:51:05
To: ondra.losi2@gmail.com | Status: OK | send In: 1.27 s | 2023-11-04 12:51:06
To: ondra.losi2@gmail.com | Status: OK | send In: 0.48 s | 2023-11-04 12:51:07
To: ondra.losi2@gmail.com | Status: OK | send In: 0.90 s | 2023-11-04 12:51:08
To: ondra.losi2@gmail.com | Status: OK | send In: 0.59 s | 2023-11-04 12:51:08
To: ondra.losi2@gmail.com | Status: OK | send In: 1.15 s | 2023-11-04 12:51:10
To: ondra.losi2@gmail.com | Status: OK | send In: 0.50 s | 2023-11-04 12:51:10
To: ondra.losi2@gmail.com | Status: OK | send In: 0.43 s | 2023-11-04 12:51:11
To: ondra.losi2@gmail.com | Status: OK | send In: 0.46 s | 2023-11-04 12:51:11
To: ondra.losi2@gmail.com | Status: OK | send In: 1.42 s | 2023-11-04 12:51:12
To: ondra.losi2@gmail.com | Status: OK | send In: 0.81 s | 2023-11-04 12:51:13
To: ondra.losi2@gmail.com | Status: OK | send In: 1.25 s | 2023-11-04 12:51:14
To: ondra.losi2@gmail.com | Status: OK | send In: 0.74 s | 2023-11-04 12:51:15
To: ondra.losi2@gmail.com | Status: OK | send In: 1.25 s | 2023-11-04 12:51:16
To: ondra.losi2@gmail.com | Status: OK | send In: 0.75 s | 2023-11-04 12:51:17
To: ondra.losi2@gmail.com | Status: OK | send In: 1.33 s | 2023-11-04 12:51:19
To: ondra.losi2@gmail.com | Status: OK | send In: 0.61 s | 2023-11-04 12:51:19
To: ondra.losi2@gmail.com | Status: OK | send In: 0.82 s | 2023-11-04 12:51:20
To: ondra.losi2@gmail.com | Status: OK | send In: 0.69 s | 2023-11-04 12:51:21
To: ondra.losi2@gmail.com | Status: OK | send In: 0.80 s | 2023-11-04 12:51:21
To: ondra.losi2@gmail.com | Status: OK | send In: 0.43 s | 2023-11-04 12:51:22
To: ondra.losi2@gmail.com | Status: OK | send In: 0.50 s | 2023-11-04 12:51:22
To: ondra.losi2@gmail.com | Status: OK | send In: 0.46 s | 2023-11-04 12:51:23
To: ondra.losi2@gmail.com | Status: OK | send In: 0.40 s | 2023-11-04 12:51:23
To: ondra.losi2@gmail.com | Status: OK | send In: 1.05 s | 2023-11-04 12:51:24
To: ondra.losi2@gmail.com | Status: OK | send In: 0.52 s | 2023-11-04 12:51:25
To: ondra.losi2@gmail.com | Status: OK | send In: 0.76 s | 2023-11-04 12:51:26
To: ondra.losi2@gmail.com | Status: OK | send In: 1.06 s | 2023-11-04 12:51:27
To: ondra.losi2@gmail.com | Status: OK | send In: 0.45 s | 2023-11-04 12:51:27
To: ondra.losi2@gmail.com | Status: OK | send In: 0.53 s | 2023-11-04 12:51:28
To: ondra.losi2@gmail.com | Status: OK | send In: 0.72 s | 2023-11-04 12:51:28
To: ondra.losi2@gmail.com | Status: OK | send In: 0.68 s | 2023-11-04 12:51:29
To: ondra.losi2@gmail.com | Status: OK | send In: 0.68 s | 2023-11-04 12:51:30
To: ondra.losi2@gmail.com | Status: OK | send In: 0.48 s | 2023-11-04 12:51:30
To: ondra.losi2@gmail.com | Status: OK | send In: 0.47 s | 2023-11-04 12:51:31
To: ondra.losi2@gmail.com | Status: OK | send In: 0.47 s | 2023-11-04 12:51:31
To: ondra.losi2@gmail.com | Status: OK | send In: 0.44 s | 2023-11-04 12:51:32
To: ondra.losi2@gmail.com | Status: OK | send In: 0.74 s | 2023-11-04 12:51:32
To: ondra.losi2@gmail.com | Status: OK | send In: 0.46 s | 2023-11-04 12:51:33
To: ondra.losi2@gmail.com | Status: OK | send In: 0.45 s | 2023-11-04 12:51:33
To: ondra.losi2@gmail.com | Status: OK | send In: 0.44 s | 2023-11-04 12:51:34
To: ondra.losi2@gmail.com | Status: OK | send In: 1.16 s | 2023-11-04 12:51:35
To: ondra.losi2@gmail.com | Status: OK | send In: 0.69 s | 2023-11-04 12:51:35
To: ondra.losi2@gmail.com | Status: OK | send In: 0.49 s | 2023-11-04 12:51:36
To: ondra.losi2@gmail.com | Status: OK | send In: 1.39 s | 2023-11-04 12:51:37
To: ondra.losi2@gmail.com | Status: OK | send In: 0.68 s | 2023-11-04 12:51:38
To: ondra.losi2@gmail.com | Status: OK | send In: 0.74 s | 2023-11-04 12:51:39
To: ondra.losi2@gmail.com | Status: OK | send In: 0.49 s | 2023-11-04 12:51:39
To: ondra.losi2@gmail.com | Status: OK | send In: 0.44 s | 2023-11-04 12:51:40
To: ondra.losi2@gmail.com | Status: OK | send In: 0.43 s | 2023-11-04 12:51:40
To: ondra.losi2@gmail.com | Status: OK | send In: 1.07 s | 2023-11-04 12:51:41
To: ondra.losi2@gmail.com | Status: OK | send In: 1.24 s | 2023-11-04 12:51:42
To: ondra.losi2@gmail.com | Status: OK | send In: 0.44 s | 2023-11-04 12:51:43
To: ondra.losi2@gmail.com | Status: OK | send In: 1.27 s | 2023-11-04 12:51:44
To: ondra.losi2@gmail.com | Status: OK | send In: 0.75 s | 2023-11-04 12:51:45
To: ondra.losi2@gmail.com | Status: OK | send In: 0.83 s | 2023-11-04 12:51:46
To: ondra.losi2@gmail.com | Status: OK | send In: 0.91 s | 2023-11-04 12:51:47
To: ondra.losi2@gmail.com | Status: OK | send In: 0.45 s | 2023-11-04 12:51:47
To: ondra.losi2@gmail.com | Status: OK | send In: 0.45 s | 2023-11-04 12:51:48
To: ondra.losi2@gmail.com | Status: OK | send In: 0.49 s | 2023-11-04 12:51:48
To: ondra.losi2@gmail.com | Status: OK | send In: 0.49 s | 2023-11-04 12:51:49
To: ondra.losi2@gmail.com | Status: OK | send In: 0.48 s | 2023-11-04 12:51:49
To: ondra.losi2@gmail.com | Status: OK | send In: 0.61 s | 2023-11-04 12:51:50
To: ondra.losi2@gmail.com | Status: OK | send In: 0.46 s | 2023-11-04 12:51:50
To: ondra.losi2@gmail.com | Status: OK | send In: 0.46 s | 2023-11-04 12:51:51
To: ondra.losi2@gmail.com | Status: OK | send In: 0.46 s | 2023-11-04 12:51:51
To: ondra.losi2@gmail.com | Status: OK | send In: 0.73 s | 2023-11-04 12:51:52
To: ondra.losi2@gmail.com | Status: OK | send In: 1.22 s | 2023-11-04 12:51:53
To: ondra.losi2@gmail.com | Status: OK | send In: 0.55 s | 2023-11-04 12:51:53
To: ondra.losi2@gmail.com | Status: OK | send In: 0.66 s | 2023-11-04 12:51:54
To: ondra.losi2@gmail.com | Status: OK | send In: 0.60 s | 2023-11-04 12:51:55
To: ondra.losi2@gmail.com | Status: OK | send In: 1.19 s | 2023-11-04 12:51:56
To: ondra.losi2@gmail.com | Status: OK | send In: 1.37 s | 2023-11-04 12:51:57
To: ondra.losi2@gmail.com | Status: OK | send In: 0.86 s | 2023-11-04 12:51:58
To: ondra.losi2@gmail.com | Status: OK | send In: 0.54 s | 2023-11-04 12:51:59
To: ondra.losi2@gmail.com | Status: OK | send In: 0.44 s | 2023-11-04 12:51:59
To: ondra.losi2@gmail.com | Status: OK | send In: 0.75 s | 2023-11-04 12:52:00
To: ondra.losi2@gmail.com | Status: OK | send In: 0.44 s | 2023-11-04 12:52:00
To: ondra.losi2@gmail.com | Status: OK | send In: 0.72 s | 2023-11-04 12:52:01
To: ondra.losi2@gmail.com | Status: OK | send In: 0.46 s | 2023-11-04 12:52:02
To: ondra.losi2@gmail.com | Status: OK | send In: 0.45 s | 2023-11-04 12:52:02
To: ondra.losi2@gmail.com | Status: OK | send In: 0.77 s | 2023-11-04 12:52:03
To: ondra.losi2@gmail.com | Status: OK | send In: 0.54 s | 2023-11-04 12:55:07
To: ondra.losi2@gmail.com | Status: OK | send In: 0.38 s | 2023-11-04 12:55:07
To: ondra.losi2@gmail.com | Status: OK | send In: 0.44 s | 2023-11-04 12:55:08
To: ondra.losi2@gmail.com | Status: OK | send In: 0.75 s | 2023-11-04 12:55:08
To: ondra.losi2@gmail.com | Status: OK | send In: 0.39 s | 2023-11-04 12:55:09
To: ondra.losi2@gmail.com | Status: OK | send In: 0.79 s | 2023-11-04 12:55:09
To: ondra.losi2@gmail.com | Status: OK | send In: 0.69 s | 2023-11-04 12:55:10
To: ondra.losi2@gmail.com | Status: OK | send In: 0.81 s | 2023-11-04 12:55:11
To: ondra.losi2@gmail.com | Status: OK | send In: 0.43 s | 2023-11-04 12:55:11
To: ondra.losi2@gmail.com | Status: OK | send In: 0.54 s | 2023-11-04 12:55:12
To: ondra.losi2@gmail.com | Status: OK | send In: 0.85 s | 2023-11-04 12:55:13
To: ondra.losi2@gmail.com | Status: OK | send In: 0.78 s | 2023-11-04 12:55:14
To: ondra.losi2@gmail.com | Status: OK | send In: 0.43 s | 2023-11-04 12:55:14
To: ondra.losi2@gmail.com | Status: OK | send In: 0.43 s | 2023-11-04 12:55:14
To: ondra.losi2@gmail.com | Status: OK | send In: 0.41 s | 2023-11-04 12:55:15
To: ondra.losi2@gmail.com | Status: OK | send In: 0.43 s | 2023-11-04 12:55:15
To: ondra.losi2@gmail.com | Status: OK | send In: 0.52 s | 2023-11-04 12:55:16
To: ondra.losi2@gmail.com | Status: OK | send In: 0.47 s | 2023-11-04 12:55:16
To: ondra.losi2@gmail.com | Status: OK | send In: 0.48 s | 2023-11-04 12:55:17
To: ondra.losi2@gmail.com | Status: OK | send In: 0.74 s | 2023-11-04 12:55:17
To: ondra.losi2@gmail.com | Status: OK | send In: 0.51 s | 2023-11-04 12:55:24
To: ondra.losi2@gmail.com | Status: OK | send In: 0.44 s | 2023-11-04 12:55:24
To: ondra.losi2@gmail.com | Status: OK | send In: 0.38 s | 2023-11-04 12:55:24
To: ondra.losi2@gmail.com | Status: OK | send In: 0.50 s | 2023-11-04 12:55:25
